Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.7,1595,13,2,4,7,4,7,6,3.22,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.33,1278,27,9,4,1,2,5,6,0.04,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.49,1432,4,3,7,0,1,8,7,0.37,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.55,1512,4,7,0,7,3,7,1,3.35,Yes
Bioinformatics and Computational Biology,Information Systems,0.18,1048,16,0,4,8,8,9,1,1.52,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.94,1512,18,5,10,1,10,10,1,3.87,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.96,838,16,10,10,10,7,3,8,0.25,Yes
Chemical Engineering,Information Systems,1.4,1192,31,6,10,2,7,7,9,1.34,Yes
Environmental Engineering,Mechanical Engineering,3.6,960,26,8,8,4,10,8,8,2.33,Yes
Cybersecurity Informatics,Mechanical Engineering,3.44,1539,23,2,10,1,6,5,7,2.74,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0.15,1029,2,9,3,5,6,5,0,2.03,Yes
Information Systems,Computer Science and Electrical Engineering,3.23,970,11,2,3,1,4,9,0,3.37,Yes
Information Systems,Mechanical Engineering,1.96,1568,5,9,8,3,7,8,10,2.65,No
Electrical Engineering,Mechanical Engineering,2.69,1517,14,3,6,10,3,9,7,3.75,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.58,1136,16,0,1,7,7,8,1,3.12,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.67,1399,21,6,1,0,8,3,6,3.86,No
Mechanical Engineering,Mechanical Engineering,0.92,1552,8,10,7,9,10,5,0,2.95,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.47,1256,14,9,3,3,7,4,5,0.96,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.54,1193,9,2,9,2,8,10,9,2.07,No
Information Systems,Computer Science and Electrical Engineering,1.2,945,12,4,4,0,0,4,4,1.39,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.97,1064,15,10,0,3,1,8,7,1.86,No
Chemical Engineering,Computer Science and Electrical Engineering,0.22,1048,25,6,3,9,4,10,7,1.94,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.32,1324,21,4,5,0,8,7,9,3.8,Yes
Environmental Engineering,Information Systems,2.1,897,34,5,6,6,1,10,2,2.96,No
Computer Engineering,Computer Science and Electrical Engineering,0.83,1187,26,3,10,8,0,3,2,3.05,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.85,1354,4,0,5,4,4,0,9,3.61,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.84,1534,25,6,1,3,6,1,9,0.03,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.77,958,32,1,10,0,3,2,7,2.96,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.44,1274,29,10,6,9,1,6,10,2.98,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,0.78,1288,22,6,10,0,9,5,7,1.95,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.21,824,34,0,3,6,3,4,5,1.21,No
Chemical Engineering,Information Systems,1.12,1015,19,8,6,8,10,1,0,0.2,No
Information Systems,Mechanical Engineering,3.39,875,6,9,9,2,7,5,8,3.87,No
Electrical Engineering,Information Systems,0.06,1072,20,3,1,0,0,10,7,1.97,No
Cybersecurity Informatics,Information Systems,3.57,1467,16,8,2,4,0,5,6,0.47,No
Cybersecurity Informatics,Information Systems,1.57,1325,33,2,4,9,8,9,0,2.67,Yes
Mechanical Engineering,Mechanical Engineering,2.47,1512,9,1,3,9,1,7,0,3.13,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.22,867,22,4,4,2,5,7,8,3.68,No
Environmental Engineering,Mechanical Engineering,1.84,868,34,2,9,9,10,6,0,1.95,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,0.37,1324,19,5,10,0,7,8,0,3.24,Yes
Chemical Engineering,Information Systems,2.17,884,4,3,9,0,9,2,5,3.42,Yes
Chemical Engineering,Computer Science and Electrical Engineering,0.49,1069,5,3,3,5,9,7,0,0.85,Yes
Chemical Engineering,Information Systems,3.3,1457,12,9,2,6,6,7,2,1.68,Yes
Information Systems,Information Systems,2.59,936,33,4,4,8,3,4,10,2.42,Yes
Computer Science,Computer Science and Electrical Engineering,2.37,1545,9,5,2,4,4,0,1,2.15,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0,1099,29,9,6,0,9,7,6,3.98,Yes
Computer Engineering,Information Systems,3.84,1338,30,9,4,0,0,10,3,1.49,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.52,968,29,9,4,8,5,1,4,3.47,No
Mechanical Engineering,Mechanical Engineering,0.73,1367,17,5,8,8,2,10,10,0.78,No
Bioinformatics and Computational Biology,Information Systems,3.94,1149,35,6,4,1,1,3,6,3.63,Yes
Business Tech0logy Administration,Information Systems,0.36,1355,13,6,4,1,6,9,10,0.05,Yes
Environmental Engineering,Mechanical Engineering,2.97,809,4,3,0,8,3,3,1,2.92,No
Environmental Engineering,Computer Science and Electrical Engineering,0.38,1215,1,10,2,4,5,2,3,1.87,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.93,1381,27,5,0,6,10,2,8,0.03,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.56,1081,28,3,5,4,2,10,2,3.58,Yes
Environmental Engineering,Mechanical Engineering,1.4,1527,25,1,1,7,9,2,5,2.66,Yes
Mechanical Engineering,Information Systems,1.25,1352,24,10,4,7,8,9,3,2.9,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.73,813,2,7,8,6,2,6,10,2.45,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.3,1100,23,0,5,0,1,1,9,3.67,No
Mechanical Engineering,Information Systems,1.39,953,22,4,6,0,6,10,10,3.27,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.61,1411,18,2,8,7,2,1,7,1.18,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.75,806,16,5,5,6,0,2,9,1.36,Yes
Information Systems,Computer Science and Electrical Engineering,1.81,1476,32,7,10,4,4,5,1,0.51,No
Computer Science,Computer Science and Electrical Engineering,3.41,1027,3,0,10,1,6,7,4,0.19,No
Computer Science,Mechanical Engineering,3.4,993,1,9,6,1,9,2,9,3.12,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.27,1084,34,3,2,8,1,7,3,1.32,Yes
Environmental Engineering,Information Systems,0.68,1175,26,3,3,6,4,4,8,2.16,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.59,1031,6,10,2,5,7,9,6,2.82,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.4,918,9,5,5,4,6,7,5,2.87,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.38,1043,7,0,4,8,5,5,7,3.46,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.98,1494,31,5,0,2,5,4,2,3.25,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.91,1064,33,9,9,7,3,3,2,2.77,Yes
Information Systems,Information Systems,1.85,1175,4,8,9,5,9,4,2,0.82,Yes
Chemical Engineering,Mechanical Engineering,2.12,1268,6,0,6,8,7,9,10,3.34,No
Environmental Engineering,Information Systems,1.4,898,11,10,1,8,5,0,0,0.44,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.57,1404,13,10,4,4,9,8,9,0.93,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.58,1457,9,2,8,6,6,8,7,1.34,No
Computer Science,Mechanical Engineering,0.84,957,18,4,3,5,6,10,7,2.26,Yes
Computer Science,Mechanical Engineering,1.12,876,26,9,5,1,6,3,6,3.78,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2,1194,23,1,3,7,10,10,2,2.3,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.24,1080,23,10,10,7,0,0,9,2.62,No
Electrical Engineering,Information Systems,3.57,1465,5,2,6,8,2,9,6,2.35,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.53,1011,10,1,8,9,9,6,6,0.34,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.01,1528,19,3,10,10,6,5,9,1.2,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.42,1449,8,7,5,0,3,10,6,3.7,Yes
Mechanical Engineering,Information Systems,0.08,1428,15,8,9,5,4,5,3,0.95,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.97,1388,19,7,9,3,4,5,4,1.65,Yes
Information Systems,Information Systems,1.34,1471,4,9,10,5,5,9,4,2.33,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.43,1154,35,9,2,2,7,2,3,3.02,No
Computer Science,Computer Science and Electrical Engineering,3.33,1365,12,0,10,8,5,3,0,2.26,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),1.38,1080,31,8,7,5,8,0,1,1.78,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.15,1271,16,4,8,5,7,0,9,2.8,Yes
Computer Engineering,Mechanical Engineering,0,1468,21,1,10,2,3,6,1,2.44,Yes
Computer Engineering,Information Systems,3.44,1474,20,8,0,9,5,3,4,2.04,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.19,1363,22,1,10,4,10,1,2,2.36,Yes
Bioinformatics and Computational Biology,Information Systems,2.6,915,5,0,7,9,9,7,1,1.63,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.39,1296,8,2,5,8,4,6,10,2.05,No
Cybersecurity Informatics,Information Systems,0.68,1435,8,5,0,7,0,9,4,1.8,Yes
Mechanical Engineering,Information Systems,0.15,1012,33,2,8,9,10,1,1,3.99,No
Chemical Engineering,Mechanical Engineering,0.97,975,27,5,10,2,3,10,9,0.22,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.96,1062,30,2,10,0,0,6,2,2.63,Yes
Cybersecurity Informatics,Information Systems,1.67,1510,28,9,0,5,1,6,8,0.97,Yes
Computer Engineering,Information Systems,3.7,884,18,1,7,6,6,2,6,1.49,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.04,1364,10,1,0,9,5,8,8,0.76,Yes
Mechanical Engineering,Information Systems,2.86,1136,13,3,7,8,5,4,6,3.01,Yes
Computer Engineering,Information Systems,0.1,1550,23,2,1,9,4,7,3,1.15,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.05,1379,19,7,1,7,9,7,9,2.62,Yes
Chemical Engineering,Computer Science and Electrical Engineering,1.86,972,23,0,9,0,1,0,9,2.27,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.6,1424,16,5,7,9,3,4,5,1.71,Yes
Mechanical Engineering,Mechanical Engineering,3.85,1496,12,5,3,3,10,4,0,1.36,No
Electrical Engineering,Information Systems,0.12,1073,4,4,6,3,3,2,10,2.8,Yes
Electrical Engineering,Mechanical Engineering,3.95,1455,12,9,9,0,7,4,0,2.15,Yes
Computer Science,Mechanical Engineering,1.89,1406,27,10,9,5,2,0,2,0.19,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.07,1359,14,7,9,0,7,9,4,2.96,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.59,880,16,10,4,1,10,9,5,3.03,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",0.99,1468,29,0,1,1,7,0,9,1.67,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),1.33,1032,12,4,10,4,0,9,7,0.08,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.36,1072,15,3,10,8,6,0,0,0.76,Yes
Cybersecurity Informatics,Information Systems,0.39,1337,1,7,1,4,6,5,0,2.3,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.1,1390,28,10,7,0,6,5,9,3.03,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.2,1470,8,9,2,3,3,9,3,0.34,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.28,1223,32,10,9,4,3,0,2,2.69,Yes
Computer Engineering,Information Systems,3.39,1360,25,1,7,9,10,0,0,2.01,Yes
Cybersecurity Informatics,Mechanical Engineering,2.76,1488,35,9,2,9,4,4,1,0.94,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.98,991,12,6,4,3,8,1,6,1.94,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.35,972,6,1,2,10,6,2,0,0.25,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),0.91,1479,31,7,0,2,6,6,3,2.64,Yes
Electrical Engineering,Computer Science and Electrical Engineering,0.33,924,9,10,8,8,1,2,6,0.5,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.71,1057,25,10,4,0,7,0,7,0.09,No
Bioinformatics and Computational Biology,Mechanical Engineering,0.77,1492,20,4,2,5,10,0,2,0.11,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.03,1518,15,1,3,5,5,4,10,2.84,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.79,854,26,0,5,5,9,8,2,0.98,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.26,951,11,8,7,4,8,2,5,2.12,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.97,1467,27,1,1,9,10,4,7,0.18,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.17,1573,21,10,1,2,6,5,0,0.18,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.13,1223,6,0,2,8,2,6,7,3.39,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.73,1263,11,10,5,5,8,3,1,2.83,Yes
Cybersecurity Informatics,Mechanical Engineering,0.1,1558,31,6,8,2,5,6,9,0.44,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.56,1430,11,5,8,4,6,2,2,2.19,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.89,993,8,7,9,10,5,3,8,0.61,Yes
Computer Science,Computer Science and Electrical Engineering,3.7,1065,19,9,8,9,3,6,7,3.12,No
Information Systems,Mechanical Engineering,1,1052,32,2,8,0,7,2,1,2.67,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.57,802,26,2,5,9,4,7,1,3.79,No
Business Tech0logy Administration,Mechanical Engineering,2.8,1047,34,5,10,8,10,10,0,2.26,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1.15,1450,16,5,9,7,6,9,1,1.57,No
Chemical Engineering,Information Systems,1.47,1422,33,2,2,7,10,6,5,2.78,Yes
Information Systems,Mechanical Engineering,2.21,1464,35,5,4,9,9,4,7,2.38,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.53,936,10,0,5,6,1,1,4,1.64,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.97,1500,23,0,8,5,8,6,3,1.68,Yes
Information Systems,Information Systems,1.82,1010,4,4,8,9,8,1,10,0.6,No
Environmental Engineering,Information Systems,2.66,1040,19,3,2,1,7,1,3,1.91,Yes
Mechanical Engineering,Information Systems,0.33,986,19,10,6,6,7,3,2,0.62,Yes
Electrical Engineering,Mechanical Engineering,3.83,1405,14,1,8,2,5,9,2,0.69,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.41,1440,33,2,2,4,10,8,10,0.62,Yes
Environmental Engineering,Information Systems,1.35,1206,18,10,9,3,3,3,3,1.92,No
Computer Engineering,Computer Science and Electrical Engineering,0.03,1440,8,0,4,0,4,7,4,1.95,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.26,1322,10,5,0,6,5,5,9,0.25,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",0.45,1519,31,9,8,0,5,6,7,2.6,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.11,1340,35,4,9,3,10,1,9,0.65,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.81,902,25,9,0,7,0,1,6,1.85,Yes
Business Tech0logy Administration,Mechanical Engineering,3.38,1550,25,5,3,8,0,5,4,2.43,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,3.07,1318,3,10,3,8,8,2,9,0.22,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.6,965,15,5,7,10,4,5,3,2.22,Yes
Information Systems,Information Systems,1.79,803,32,1,4,7,6,3,6,3.67,No
Environmental Engineering,Information Systems,1.33,1539,21,10,2,4,5,3,10,0.54,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.79,1065,33,7,0,5,3,7,1,3.67,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.42,1365,27,5,0,1,0,8,6,3.27,No
Electrical Engineering,Computer Science and Electrical Engineering,0.6,1051,14,1,3,8,5,10,7,2.15,Yes
Information Systems,Information Systems,1.72,1047,10,0,6,1,10,9,0,0.5,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.78,1271,24,8,7,0,5,10,3,2.89,No
Mechanical Engineering,Information Systems,3.84,1298,10,3,0,4,1,6,7,2.59,Yes
Electrical Engineering,Mechanical Engineering,3.18,1065,31,9,7,9,5,8,6,2.66,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.24,1035,28,10,4,7,9,0,7,0.52,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.47,1427,4,7,5,2,7,5,3,1.96,Yes
Mechanical Engineering,Information Systems,2.78,1352,19,1,7,5,9,9,7,2.61,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.28,1574,16,8,9,8,9,3,10,1.86,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.3,983,32,7,0,7,9,1,2,2.36,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.84,1280,6,10,0,5,1,9,2,2.26,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.44,1331,10,1,7,1,7,1,0,1.71,Yes
Chemical Engineering,Mechanical Engineering,2.11,1573,16,8,7,3,5,5,0,0.6,Yes
Information Systems,Mechanical Engineering,3.49,1141,2,7,3,6,6,3,0,3.25,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.62,1565,8,1,10,8,9,4,2,2.57,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.36,815,5,5,4,9,0,9,9,2.56,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.79,1583,30,4,8,1,2,8,4,0.21,Yes
Computer Science,Information Systems,2.51,897,8,1,1,6,10,7,9,3.02,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.84,1314,29,7,0,7,10,3,3,0.87,Yes
Computer Engineering,Information Systems,0.5,1141,3,0,6,9,1,10,2,2.74,No
Environmental Engineering,Information Systems,1.14,1595,13,7,9,6,3,1,5,2.73,Yes
Information Systems,Mechanical Engineering,0.68,1413,27,5,3,4,6,1,2,0.36,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.97,1369,12,8,6,4,7,2,3,2.13,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.67,1500,6,5,10,8,7,6,5,2.84,Yes
Business Tech0logy Administration,Information Systems,3.66,1417,15,0,2,10,7,6,2,3.12,Yes
Environmental Engineering,Mechanical Engineering,1.01,1479,8,9,10,0,4,6,9,1.65,No
Computer Engineering,Computer Science and Electrical Engineering,0.81,1396,24,4,3,6,10,2,10,0.1,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.82,1186,32,6,9,1,10,8,5,2.81,Yes
Computer Science,Information Systems,2.66,1344,31,3,7,4,8,6,1,1.25,Yes
Chemical Engineering,Information Systems,0.55,1222,3,3,0,5,10,8,9,0.95,Yes
Chemical Engineering,Information Systems,3.27,1225,35,2,6,9,5,8,10,3.19,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.29,1019,13,7,6,3,7,6,3,1.51,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.45,1083,15,4,5,3,3,4,10,1.97,Yes
Chemical Engineering,Information Systems,2.55,1587,26,10,10,4,0,7,5,1.54,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.82,1022,12,5,0,3,4,9,3,3.63,No
Cybersecurity Informatics,Mechanical Engineering,0.92,1491,25,2,10,2,2,2,1,1.7,Yes
Environmental Engineering,Mechanical Engineering,3.51,1136,28,0,9,9,8,5,4,1.49,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.46,877,19,7,3,8,4,7,0,0.86,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.69,963,9,7,7,0,7,2,8,1.77,No
Environmental Engineering,Mechanical Engineering,0.43,1024,35,6,1,5,3,10,0,1.99,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.73,1076,32,6,9,0,3,8,6,2.65,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.66,836,3,3,10,4,1,1,9,2.92,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.16,1161,5,10,1,2,7,0,4,0.94,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.03,1585,18,9,4,4,10,10,2,3.78,Yes
Bioinformatics and Computational Biology,Information Systems,1.75,1256,15,5,0,7,8,9,2,2.53,No
Computer Engineering,Computer Science and Electrical Engineering,3.06,1329,25,5,7,7,7,5,0,0.41,Yes
Computer Engineering,Mechanical Engineering,0.97,996,18,7,9,8,7,5,5,3.06,Yes
Computer Science,Computer Science and Electrical Engineering,3.61,875,7,0,3,3,4,3,4,2.8,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.15,1560,22,5,5,1,8,1,9,2.77,No
Computer Engineering,Mechanical Engineering,2.93,1423,24,1,5,7,8,2,0,3.13,Yes
Electrical Engineering,Mechanical Engineering,3.22,1111,35,4,3,7,4,1,7,2.56,No
Cybersecurity Informatics,Information Systems,1.38,1313,22,8,4,8,8,3,5,0.07,Yes
Mechanical Engineering,Information Systems,0.76,1588,27,0,10,9,0,9,7,2.64,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.42,1071,2,5,5,6,2,10,0,3.2,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.15,1475,11,8,0,1,4,7,3,2.19,No
Environmental Engineering,Information Systems,1.08,898,26,4,5,7,7,1,8,0.73,Yes
Computer Science,Information Systems,2.43,883,7,4,6,6,2,6,7,2.69,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.39,1089,19,10,5,5,2,3,5,0.19,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.72,897,19,2,3,10,6,5,4,1.84,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.89,1331,10,1,5,5,10,0,10,1.91,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.57,1387,31,6,1,8,9,0,1,3.93,Yes
Mechanical Engineering,Mechanical Engineering,1.17,1036,1,2,0,4,3,6,0,0.72,Yes
Bioinformatics and Computational Biology,Information Systems,2.71,1170,17,2,5,7,5,6,9,2.16,Yes
Cybersecurity Informatics,Mechanical Engineering,3.91,950,10,1,0,9,4,6,7,2.78,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.44,1088,21,3,9,10,2,2,2,0.06,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",1.71,1446,17,7,3,8,1,5,3,3.61,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.05,850,3,3,5,5,9,9,7,2.79,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.26,1484,22,3,5,5,4,7,2,2.5,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",0.81,1251,30,9,7,0,7,7,2,2.57,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.81,847,5,9,10,10,7,7,6,0.46,Yes
Chemical Engineering,Mechanical Engineering,2.9,1425,3,5,0,9,1,9,4,3.83,No
Computer Science,Biological Sciences (in collaboration with COEIT),3.12,1182,1,8,0,8,0,6,10,1.77,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.87,878,17,2,10,8,10,3,5,2.29,Yes
Cybersecurity Informatics,Information Systems,0.55,1130,22,6,7,3,4,4,7,1.02,Yes
Electrical Engineering,Information Systems,1.69,1566,27,3,4,2,3,5,5,0.45,Yes
Electrical Engineering,Mechanical Engineering,2.99,1124,33,6,4,2,2,0,10,3.15,Yes
Chemical Engineering,Mechanical Engineering,3.42,991,21,3,9,1,3,1,0,2.35,Yes
Computer Science,Mechanical Engineering,0.32,1559,1,5,2,7,0,5,8,1.56,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.98,1581,4,2,9,9,10,2,7,0.63,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.85,1546,6,3,9,1,2,2,7,1.63,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),1.73,1159,28,4,8,10,3,3,7,0.01,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.28,843,12,6,9,6,9,0,9,3.9,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.81,1535,23,0,7,4,4,4,6,2.53,Yes
Computer Science,Information Systems,3.31,1332,12,7,9,5,0,7,9,1.15,Yes
Chemical Engineering,Information Systems,3.04,1016,33,5,7,7,9,7,0,3.46,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.87,1503,21,7,2,4,2,6,6,0.38,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.41,855,27,7,10,3,10,6,2,0.89,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.32,810,32,8,8,3,1,3,3,1.29,No
Computer Engineering,Computer Science and Electrical Engineering,2,1156,1,3,4,10,7,8,5,3.61,Yes
Computer Science,Computer Science and Electrical Engineering,2.78,1278,32,2,0,7,8,10,4,1.02,Yes
Environmental Engineering,Information Systems,1.29,1368,3,0,1,3,7,5,2,1.67,No
Information Systems,Mechanical Engineering,0.34,1534,33,8,6,9,4,1,5,2.47,No
Computer Science,Information Systems,1.97,904,1,10,0,0,9,10,5,3.09,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",0.88,1525,24,1,1,4,10,4,9,2.65,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.72,1392,19,8,4,0,3,6,9,2.73,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.1,1420,18,9,4,0,2,7,2,2.97,Yes
Chemical Engineering,Information Systems,2.42,1349,32,7,5,1,8,10,8,2.35,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1.26,1431,6,8,5,7,7,6,1,2.03,No
Chemical Engineering,Mechanical Engineering,1.84,1467,17,1,10,10,10,9,7,3.32,Yes
Computer Engineering,Information Systems,0.9,806,12,10,8,7,0,2,2,2.85,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.25,1441,34,6,6,7,10,4,3,1.91,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.03,843,2,6,7,1,10,8,4,3.39,Yes
