Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Business TechNology Administration,Computer Science and Electrical Engineering,3.65,1078,25,10,9,4,4,0,6,3.21,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.53,1358,34,10,6,9,2,0,5,3.36,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.57,1445,32,9,3,0,6,3,7,3.49,Yes
Computer Science,Information Systems,3.88,1372,22,5,3,10,7,1,0,2.87,Yes
Information Systems,Mechanical Engineering,2.74,1411,31,9,4,10,5,3,3,3.02,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.71,1399,29,7,6,0,3,9,3,2.53,Yes
Cybersecurity Informatics,Information Systems,3.72,1400,22,9,10,3,0,8,5,2.73,Yes
Electrical Engineering,Mechanical Engineering,2.65,1512,28,2,0,4,2,2,2,3.6,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.74,1239,28,1,8,0,6,4,2,3.99,Yes
Information Systems,Mechanical Engineering,3.42,1314,34,5,5,8,6,2,1,3.47,Yes
Computer Engineering,Information Systems,3.07,1163,25,8,1,8,7,9,3,3.11,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.04,1496,23,5,7,3,3,6,9,3.83,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.94,1343,25,10,2,0,4,5,7,3.42,Yes
Mechanical Engineering,Mechanical Engineering,3.76,1032,30,7,9,3,7,4,2,3.94,Yes
Environmental Engineering,Information Systems,3.63,1050,28,10,10,7,8,0,9,3.95,No
Cybersecurity Informatics,Mechanical Engineering,3.43,1304,33,9,5,8,8,4,1,3.2,No
Bioinformatics and Computational Biology,Mechanical Engineering,2.82,1565,34,6,4,8,1,5,8,3.08,No
Chemical Engineering,Information Systems,3.85,1388,24,1,6,10,7,0,8,3.44,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.18,1124,34,9,2,5,3,3,5,3.47,Yes
Cybersecurity Informatics,Information Systems,3.04,1545,27,1,7,10,3,3,1,2.99,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.53,1562,29,5,6,7,3,6,6,3.95,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.35,1371,24,8,2,5,7,2,4,2.98,Yes
Computer Science,Information Systems,3.34,1256,25,1,3,7,5,2,10,2.56,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.82,1534,22,7,9,0,6,6,7,2.94,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.74,1453,23,1,6,9,3,0,7,3.9,Yes
Cybersecurity Informatics,Information Systems,3.16,1182,35,4,5,9,7,1,8,3.94,Yes
Chemical Engineering,Information Systems,3.69,1106,25,7,6,6,3,6,2,3.16,No
Chemical Engineering,Computer Science and Electrical Engineering,3.42,1306,31,2,5,10,8,10,2,3.98,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.93,1306,28,8,6,2,2,8,3,2.91,Yes
Business TechNology Administration,Information Systems,3.87,1177,23,3,3,8,7,6,1,3.02,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.65,1494,34,10,2,5,4,8,10,3.01,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.68,1221,21,2,0,2,1,10,8,3.27,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.92,1237,20,3,10,9,8,2,10,3.37,Yes
Cybersecurity Informatics,Information Systems,3.97,1228,27,5,1,8,8,10,7,3.51,No
Information Systems,Biological Sciences (in collaboration with COEIT),2.79,1025,31,2,5,5,4,0,2,3.73,Yes
Computer Science,Computer Science and Electrical Engineering,3.44,1529,21,0,2,6,6,4,10,3.19,Yes
Electrical Engineering,Information Systems,2.9,1039,32,0,4,10,0,9,9,3.39,Yes
Bioinformatics and Computational Biology,Information Systems,3.59,1021,26,7,0,0,8,8,4,3.79,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.61,1558,32,8,5,0,1,2,1,2.78,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.68,1118,34,2,3,0,0,10,8,3.93,Yes
Bioinformatics and Computational Biology,Information Systems,2.61,1278,26,5,7,5,0,9,2,3.28,Yes
Information Systems,Computer Science and Electrical Engineering,2.59,1002,21,10,2,0,1,7,5,2.82,Yes
Chemical Engineering,Information Systems,3.91,1183,30,8,3,8,0,4,1,3.9,Yes
Information Systems,Information Systems,2.56,1296,22,2,8,8,6,8,7,3.39,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.3,1010,27,3,10,3,6,9,3,3.32,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.8,1550,26,4,0,3,6,1,10,3.22,Yes
Computer Science,Computer Science and Electrical Engineering,3.39,1029,29,3,6,10,3,8,7,3.38,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.98,1198,32,8,4,4,8,4,2,3.81,Yes
Information Systems,Mechanical Engineering,3.21,1162,24,4,9,3,4,10,5,3.79,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.7,1360,28,1,4,5,7,10,9,3.16,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.67,1309,26,2,9,3,4,0,8,3.1,Yes
Computer Science,Computer Science and Electrical Engineering,3.5,1015,34,10,4,5,4,2,7,3.67,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.13,1497,27,5,5,6,6,10,1,3.33,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.66,1067,29,4,4,9,10,8,9,3.53,Yes
Chemical Engineering,Information Systems,3.22,1596,25,4,7,1,1,10,7,3.29,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.15,1262,20,1,10,3,9,7,2,2.65,No
Bioinformatics and Computational Biology,Information Systems,3.52,1068,35,4,2,10,0,4,7,3.03,Yes
Electrical Engineering,Information Systems,3.66,1421,32,2,9,8,0,1,4,3.97,Yes
Computer Engineering,Information Systems,2.73,1512,35,3,2,8,10,8,3,3.84,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.47,1109,21,5,3,10,5,4,5,3.36,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.16,1047,24,2,2,5,5,7,8,3.37,Yes
Information Systems,Mechanical Engineering,2.54,1051,33,5,4,10,8,1,1,3.16,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.53,1139,28,2,4,0,4,4,0,2.78,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.69,1401,28,1,0,0,7,5,8,3.98,Yes
Mechanical Engineering,Mechanical Engineering,3.04,1061,29,2,7,8,9,7,1,3.56,No
Business TechNology Administration,Information Systems,3.78,1221,30,4,3,1,0,9,4,3.64,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.74,1407,28,6,2,7,4,3,2,3.65,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.93,1357,34,0,8,3,10,0,7,3.9,Yes
Chemical Engineering,Information Systems,3.1,1034,32,1,4,7,8,2,1,2.63,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.86,1333,23,8,0,5,6,9,3,2.84,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.9,1219,32,1,1,5,7,1,3,3.6,Yes
Chemical Engineering,Mechanical Engineering,2.67,1233,28,0,4,4,10,2,4,2.88,Yes
Information Systems,Mechanical Engineering,3.73,1010,20,2,0,2,7,9,8,3.51,Yes
Mechanical Engineering,Information Systems,2.86,1180,22,7,7,5,0,9,5,3.29,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.19,1059,26,0,1,2,5,5,1,3.65,Yes
Chemical Engineering,Mechanical Engineering,2.74,1316,26,2,7,4,1,3,1,3.32,Yes
Mechanical Engineering,Mechanical Engineering,3.37,1226,31,7,1,6,10,8,3,3.2,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.88,1457,23,5,10,9,5,3,6,3.24,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.58,1116,31,2,2,2,6,0,9,3.8,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.69,1223,25,0,10,9,9,3,6,3.65,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.9,1001,30,1,10,1,2,9,6,3.33,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.72,1531,35,8,6,10,7,2,4,2.59,Yes
Information Systems,Mechanical Engineering,2.7,1147,33,8,8,1,8,0,8,2.87,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.36,1234,34,3,0,8,10,7,4,3.25,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.38,1087,22,3,3,5,8,7,0,2.88,Yes
Computer Science,Computer Science and Electrical Engineering,2.86,1492,32,0,2,9,2,4,5,2.78,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.65,1405,24,1,10,2,1,8,2,3.68,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.68,1038,27,0,10,4,10,7,3,2.83,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.47,1435,32,6,3,8,2,1,1,2.81,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.91,1446,29,2,10,7,7,9,4,3.48,Yes
Cybersecurity Informatics,Information Systems,3.54,1407,23,4,7,4,2,4,8,3.27,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.19,1558,23,7,9,8,8,8,5,3.59,Yes
Cybersecurity Informatics,Mechanical Engineering,2.55,1399,33,6,2,8,8,6,8,3.65,No
Electrical Engineering,Information Systems,3.63,1442,21,4,8,4,6,2,8,2.88,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.43,1215,22,4,0,3,6,7,6,3.64,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.63,1389,21,7,0,10,2,2,9,3.58,Yes
Computer Science,Information Systems,3.74,1166,28,9,9,8,0,9,3,3.75,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.24,1361,21,10,5,6,7,9,1,3.8,Yes
Mechanical Engineering,Information Systems,3.68,1598,27,0,0,0,6,1,4,2.86,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.26,1446,26,1,4,4,1,7,9,3.15,Yes
Information Systems,Mechanical Engineering,2.72,1481,32,2,5,7,4,5,9,3.1,Yes
Cybersecurity Informatics,Information Systems,3.45,1593,35,6,8,6,8,4,6,3.31,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.68,1579,21,7,8,3,3,3,0,2.98,Yes
Business TechNology Administration,Mechanical Engineering,3.3,1245,24,5,5,9,2,5,7,3.32,Yes
Information Systems,Mechanical Engineering,3.16,1293,23,6,0,10,9,6,7,3.31,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.56,1384,35,9,10,10,1,8,1,3.56,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.19,1150,24,8,3,6,2,6,7,2.53,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.64,1080,33,6,2,10,2,9,6,2.64,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.97,1132,28,8,10,9,2,5,5,3.88,Yes
Chemical Engineering,Information Systems,2.84,1379,21,10,2,1,4,10,7,2.53,No
Mechanical Engineering,Information Systems,2.52,1438,34,3,5,4,2,2,5,3.12,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.02,1327,30,8,2,3,3,8,3,2.89,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3,1532,27,2,8,0,8,6,5,2.79,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.89,1477,30,1,4,4,2,8,3,3.27,No
Information Systems,Computer Science and Electrical Engineering,2.5,1277,34,8,10,1,10,4,8,2.7,No
Computer Engineering,Computer Science and Electrical Engineering,2.93,1458,31,3,8,10,0,2,8,2.88,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.15,1260,34,8,9,8,10,0,7,3.09,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.44,1207,29,4,0,1,6,6,2,3.82,Yes
Environmental Engineering,Mechanical Engineering,2.84,1415,28,0,5,5,4,3,8,3.01,No
Electrical Engineering,Information Systems,2.62,1317,34,3,2,8,3,0,8,3.2,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.95,1074,28,0,9,0,3,10,1,3.04,Yes
Information Systems,Computer Science and Electrical Engineering,2.73,1281,28,6,1,8,8,4,0,3.34,Yes
Environmental Engineering,Mechanical Engineering,3.75,1016,20,2,5,3,3,0,10,3.65,Yes
Electrical Engineering,Information Systems,2.65,1331,25,4,5,0,10,3,8,2.54,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.53,1335,32,7,9,6,10,0,1,3.08,Yes
Information Systems,Information Systems,3.11,1434,24,9,10,10,3,5,10,2.99,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.28,1397,20,5,10,7,2,6,10,3.2,Yes
Chemical Engineering,Information Systems,2.69,1420,35,1,0,0,8,7,3,3.19,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.9,1184,31,10,7,4,9,2,9,3.57,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.1,1232,25,1,4,2,7,9,8,3,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.64,1269,24,6,8,2,10,9,9,3.29,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.38,1415,33,7,5,8,1,5,5,3.21,Yes
Computer Science,Information Systems,3.25,1447,28,5,10,8,7,1,1,2.54,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.77,1522,35,5,6,7,10,0,3,3.88,Yes
Electrical Engineering,Computer Science and Electrical Engineering,4,1473,30,5,3,7,8,1,5,4,Yes
Chemical Engineering,Information Systems,3.24,1303,23,0,9,9,8,6,4,3.2,Yes
Information Systems,Information Systems,3.51,1172,35,6,7,9,3,10,9,2.71,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.33,1144,34,7,4,4,2,7,1,2.81,Yes
Electrical Engineering,Information Systems,3.94,1178,34,8,3,10,9,6,5,3.54,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.85,1196,31,5,10,3,8,3,1,3.47,Yes
Cybersecurity Informatics,Information Systems,2.51,1087,31,7,3,7,3,10,2,3.27,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.42,1454,26,2,1,5,5,0,9,2.82,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.7,1065,32,2,0,2,1,0,3,3.77,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.63,1500,31,1,7,6,8,6,6,3.84,Yes
Bioinformatics and Computational Biology,Information Systems,3.24,1328,23,0,0,8,6,5,10,3.66,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.24,1412,26,6,9,9,7,0,9,3.11,Yes
Electrical Engineering,Information Systems,3.24,1408,23,2,6,9,4,8,5,2.56,Yes
Chemical Engineering,Information Systems,2.55,1276,26,9,1,2,2,4,5,2.61,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.57,1496,31,2,2,9,2,2,9,2.64,No
Bioinformatics and Computational Biology,Mechanical Engineering,2.74,1166,21,3,9,5,5,9,1,2.75,Yes
Computer Engineering,Information Systems,3.74,1345,30,0,5,7,8,5,10,3.78,No
Environmental Engineering,Computer Science and Electrical Engineering,2.88,1566,24,8,10,4,2,10,8,3.61,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.83,1130,23,6,6,0,0,1,1,3.76,No
Bioinformatics and Computational Biology,Information Systems,3.45,1269,32,3,9,8,9,9,0,3.19,Yes
Chemical Engineering,Information Systems,3.72,1116,28,4,4,8,8,6,8,3.02,Yes
Information Systems,Information Systems,3.55,1257,35,7,7,1,9,8,1,3.87,Yes
Chemical Engineering,Information Systems,2.63,1469,34,6,3,6,0,2,2,2.6,Yes
Mechanical Engineering,Mechanical Engineering,3.56,1279,35,1,1,5,4,6,2,3.74,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.61,1569,20,4,2,0,9,6,9,3.5,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.4,1256,33,3,7,8,4,7,1,3.8,Yes
Bioinformatics and Computational Biology,Information Systems,2.56,1424,21,8,1,9,10,4,4,3.02,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.58,1333,33,8,8,5,9,10,7,2.79,Yes
Chemical Engineering,Information Systems,3.33,1268,22,8,2,8,6,6,6,3.2,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.74,1338,32,1,8,4,5,8,2,4,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.24,1081,23,3,3,4,10,7,6,3.67,No
Information Systems,Mechanical Engineering,3.87,1171,26,8,1,8,1,5,4,2.63,No
Business TechNology Administration,Information Systems,3.33,1322,30,9,8,3,3,4,5,2.87,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.94,1339,21,7,2,10,8,3,7,2.73,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.58,1033,29,4,8,2,0,8,10,3.64,No
Cybersecurity Informatics,Information Systems,3.38,1027,29,6,7,8,10,3,8,2.85,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.6,1249,21,2,8,5,7,10,0,3.16,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.67,1570,20,4,5,8,3,4,9,2.73,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.57,1514,24,4,1,0,7,3,4,3.37,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.6,1396,34,1,1,10,10,2,6,2.88,No
Mechanical Engineering,Information Systems,3.92,1131,20,10,4,10,3,5,10,3.82,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.51,1471,21,6,6,0,5,1,3,3.96,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.89,1200,27,4,9,7,4,0,4,2.83,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.44,1093,22,8,5,8,9,0,6,3.64,Yes
Electrical Engineering,Information Systems,2.55,1442,35,3,0,3,4,2,4,3.37,No
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.85,1486,23,10,8,9,5,8,9,3.67,Yes
Computer Science,Mechanical Engineering,3.21,1108,22,6,7,5,0,9,4,2.71,Yes
Mechanical Engineering,Information Systems,2.79,1498,34,10,5,5,9,4,9,2.98,Yes
Electrical Engineering,Information Systems,3.72,1088,32,5,6,1,7,0,1,3.93,Yes
Environmental Engineering,Information Systems,2.81,1319,20,3,3,9,10,5,6,3.59,Yes
Environmental Engineering,Information Systems,2.85,1060,29,2,7,3,7,3,3,3.45,Yes
Cybersecurity Informatics,Mechanical Engineering,3.24,1479,20,6,4,8,3,4,2,2.79,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.96,1473,22,10,1,2,10,9,0,2.72,Yes
Business TechNology Administration,Mechanical Engineering,2.86,1234,31,7,9,1,1,1,9,3.5,Yes
Computer Science,Computer Science and Electrical Engineering,2.67,1520,26,2,3,7,7,7,8,2.93,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.78,1240,24,2,6,1,7,1,6,3.58,Yes
Bioinformatics and Computational Biology,Information Systems,3.55,1479,30,5,9,7,1,4,10,3.4,Yes
Business TechNology Administration,Mechanical Engineering,3.58,1051,29,6,6,1,8,3,5,3.23,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.64,1310,22,1,10,4,10,8,2,3.05,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.9,1343,28,8,6,9,4,1,9,2.52,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.71,1200,22,2,9,0,5,5,7,3.89,Yes
Mechanical Engineering,Information Systems,3.43,1159,35,2,7,10,10,3,5,3.32,Yes
Bioinformatics and Computational Biology,Information Systems,3.4,1311,28,6,9,8,6,7,5,2.87,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.55,1050,24,7,7,6,7,0,9,3.87,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.56,1352,26,3,8,4,9,1,7,2.9,Yes
Computer Engineering,Information Systems,2.83,1230,27,10,7,10,3,10,10,3.65,No
Information Systems,Information Systems,3.37,1367,30,1,4,2,4,3,3,3.03,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.79,1420,24,5,6,2,1,2,3,2.91,No
Environmental Engineering,Information Systems,3.05,1097,27,7,4,3,4,2,0,3.25,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.03,1343,35,10,0,10,2,9,0,3.28,No
Environmental Engineering,Information Systems,3.01,1331,20,10,1,1,2,3,4,2.84,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.7,1160,29,10,7,1,3,8,3,2.54,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.62,1148,33,7,7,10,4,5,0,3.4,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.35,1200,24,2,7,10,2,2,2,2.85,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.21,1355,34,5,2,7,3,3,4,2.78,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.87,1355,34,8,2,10,9,9,6,3.99,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.97,1079,35,4,3,9,1,6,5,2.61,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.31,1493,35,4,2,6,3,6,0,3.56,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3,1533,30,1,9,4,0,9,0,3.58,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.29,1060,32,6,5,10,8,10,3,3.1,Yes
Mechanical Engineering,Information Systems,3.08,1472,31,8,10,0,6,3,3,3.27,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.14,1176,27,7,9,10,7,0,5,3.1,No
Computer Engineering,Computer Science and Electrical Engineering,3.23,1175,26,6,0,5,7,5,7,3.03,Yes
Bioinformatics and Computational Biology,Information Systems,3.47,1001,27,7,2,4,6,6,7,3.9,No
Information Systems,Computer Science and Electrical Engineering,2.84,1014,28,9,8,1,2,5,6,3.9,Yes
Cybersecurity Informatics,Information Systems,3.9,1137,24,3,5,4,8,10,8,3.47,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.19,1078,27,6,1,4,0,9,7,3.62,Yes
Chemical Engineering,Information Systems,3.06,1257,25,4,0,1,1,8,0,3.6,Yes
Chemical Engineering,Information Systems,2.9,1303,29,3,5,9,9,9,2,2.73,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.06,1598,28,0,3,4,1,2,6,3.66,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.73,1477,23,3,1,6,8,6,10,3.05,Yes
Environmental Engineering,Mechanical Engineering,3.9,1251,32,7,8,9,5,2,5,3.13,Yes
Chemical Engineering,Information Systems,3.69,1376,22,0,0,9,10,1,8,2.94,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.9,1302,24,2,6,10,1,6,8,3.84,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.78,1519,25,3,1,2,2,8,10,3.61,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.89,1181,30,7,2,4,3,8,8,3.77,Yes
Mechanical Engineering,Information Systems,2.56,1188,24,2,8,7,10,0,7,3.92,Yes
Business TechNology Administration,Information Systems,3.38,1387,20,4,8,4,2,3,7,3.06,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.55,1349,32,3,5,10,4,3,10,3.16,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.58,1165,23,4,0,5,3,2,9,2.98,Yes
Computer Science,Computer Science and Electrical Engineering,3.22,1295,31,1,4,1,0,9,4,2.68,Yes
Computer Science,Information Systems,2.96,1485,32,8,4,10,6,6,1,3.67,Yes
Computer Engineering,Mechanical Engineering,2.63,1437,34,0,6,4,7,10,6,3.14,Yes
Cybersecurity Informatics,Information Systems,2.59,1338,24,5,9,5,8,5,8,3.48,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.67,1019,35,4,1,2,5,2,3,3.45,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.77,1079,32,10,8,1,4,7,0,3.45,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.76,1014,26,7,9,10,5,8,7,3.28,Yes
Computer Engineering,Mechanical Engineering,3.54,1599,31,6,8,8,6,10,7,3.62,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.74,1166,30,9,7,10,8,0,9,3.1,Yes
Mechanical Engineering,Mechanical Engineering,3.25,1527,22,1,3,10,0,2,7,3.74,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.7,1548,23,6,4,5,2,0,3,3.98,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.84,1406,35,5,8,9,8,10,3,2.69,Yes
Cybersecurity Informatics,Information Systems,3.16,1426,26,8,9,9,5,1,10,2.53,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.97,1421,21,2,2,9,2,2,10,3.08,Yes
Business TechNology Administration,Mechanical Engineering,3.12,1385,32,4,1,6,7,1,2,2.75,Yes
Chemical Engineering,Information Systems,3.14,1526,29,10,3,7,9,4,8,3.59,Yes
Business TechNology Administration,Information Systems,2.68,1173,23,9,5,2,7,8,9,3.46,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.59,1206,35,0,7,3,8,1,6,3.2,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.31,1246,33,2,8,9,9,1,5,3.5,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.6,1015,27,9,2,4,2,8,9,2.79,Yes
Computer Engineering,Information Systems,3.03,1528,20,8,7,9,10,8,2,3.3,Yes
Computer Science,Computer Science and Electrical Engineering,2.56,1050,24,1,7,7,9,9,8,3.18,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.33,1417,30,10,8,2,9,5,5,3.6,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.15,1302,34,6,0,1,9,10,1,3.33,Yes
Information Systems,Computer Science and Electrical Engineering,3.62,1387,27,3,1,8,8,10,2,3.79,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.94,1361,32,1,0,7,10,5,9,3.54,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.26,1353,23,2,2,9,7,8,10,2.56,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.61,1504,34,10,4,1,9,8,6,3.18,Yes
Cybersecurity Informatics,Information Systems,3.43,1317,22,2,9,4,9,7,10,3.92,No
Business TechNology Administration,Information Systems,2.83,1271,26,4,1,8,4,8,3,2.71,Yes
Chemical Engineering,Information Systems,3.51,1277,26,5,3,7,2,6,8,3.35,Yes
Chemical Engineering,Information Systems,3.19,1127,32,6,10,0,4,7,8,2.79,Yes
Computer Engineering,Information Systems,3.42,1104,30,7,10,6,3,2,9,3.04,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.99,1515,34,7,1,9,7,5,7,2.77,No
Information Systems,Information Systems,3.55,1480,25,5,0,7,2,4,2,2.69,Yes
Environmental Engineering,Information Systems,2.68,1339,35,8,7,9,9,2,5,3.53,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.65,1106,35,5,8,2,5,7,5,3.2,No
